tstamp,windspeed-2,windspeed-1,windspeed-0,temperature-2,temperature-1,temperature-0,solarflux,humidity-2,humidity-1,humidity-0,clearingprice
965121300,10.4157,9.7866,9.74465,70.3532,70.477,70.3532,59.3911,0.44781,0.44375,0.44781,0.12
965122200,9.7866,9.74465,10.2899,70.477,70.3532,69.982,55.0537,0.44375,0.44781,0.46,0.12
965123100,9.74465,10.2899,13.5824,70.3532,69.982,68.9076,50.0369,0.44781,0.46,0.50094,0.12
965124000,10.2899,13.5824,16.0221,69.982,68.9076,67.8895,45.0985,0.46,0.50094,0.53625,0.12
965124900,13.5824,16.0221,17.6089,68.9076,67.8895,66.9276,40.2387,0.50094,0.53625,0.56594,0.12
965125800,16.0221,17.6089,18.3429,67.8895,66.9276,66.022,35.4573,0.53625,0.56594,0.59,0.12
965126700,17.6089,18.3429,16.7561,66.9276,66.022,65.0545,30.329,0.56594,0.59,0.6,0.12
965127600,18.3429,16.7561,15.2951,66.022,65.0545,64.222,25.5629,0.59,0.6,0.61,0.1308
965128500,16.7561,15.2951,13.9599,65.0545,64.222,63.5245,21.159,0.6,0.61,0.62,0.1307
965129400,15.2951,13.9599,12.7505,64.222,63.5245,62.962,17.1171,0.61,0.62,0.63,0.14
965130300,13.9599,12.7505,11.7299,63.5245,62.962,62.8382,13.1373,0.62,0.63,0.64094,0.14
965131200,12.7505,11.7299,10.7932,62.962,62.8382,62.647,9.71977,0.63,0.64094,0.65125,0.14
965132100,11.7299,10.7932,9.94039,62.8382,62.647,62.3882,6.86448,0.64094,0.65125,0.66094,0.14
965133000,10.7932,9.94039,9.17144,62.647,62.3882,62.062,4.57144,0.65125,0.66094,0.67,0.14
965133900,9.94039,9.17144,8.50735,62.3882,62.062,61.3814,3.44711,0.66094,0.67,0.68031,0.14
965134800,9.17144,8.50735,7.91316,62.062,61.3814,60.8245,2.48074,0.67,0.68031,0.68875,0.14
965135700,8.50735,7.91316,7.38888,61.3814,60.8245,60.3914,1.67235,0.68031,0.68875,0.69531,0.14
965136600,7.91316,7.38888,6.9345,60.8245,60.3914,60.082,1.02193,0.68875,0.69531,0.7,0.14
965137500,7.38888,6.9345,6.55003,60.3914,60.082,60.082,0.67064,0.69531,0.7,0.7,0.14
965138400,6.9345,6.55003,6.23546,60.082,60.082,60.082,0.38323,0.7,0.7,0.7,0.14
965139300,6.55003,6.23546,5.9908,60.082,60.082,60.082,0.15968,0.7,0.7,0.7,0.14
965140200,6.23546,5.9908,5.81603,60.082,60.082,60.082,0,0.7,0.7,0.7,0.14
965141100,5.9908,5.81603,6.04672,60.082,60.082,60.082,0,0.7,0.7,0.7,0.14
965142000,5.81603,6.04672,6.12361,60.082,60.082,60.082,0,0.7,0.7,0.7,0.14
965142900,6.04672,6.12361,6.04672,60.082,60.082,60.082,0,0.7,0.7,0.7,0.14
965143800,6.12361,6.04672,5.81603,60.082,60.082,60.082,0,0.7,0.7,0.7,0.14
965144700,6.04672,5.81603,4.84437,60.082,60.082,60.1832,0,0.7,0.7,0.69813,0.14
965145600,5.81603,4.84437,4.11037,60.082,60.1832,60.217,0,0.7,0.69813,0.6975,0.16
965146500,4.84437,4.11037,3.61405,60.1832,60.217,60.1832,0,0.69813,0.6975,0.69813,0.3
965147400,4.11037,3.61405,3.3554,60.217,60.1832,60.082,0,0.6975,0.69813,0.7,0.3
